artist,album,track_name,track_id,energy,danceability,key,loudness,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,genre
Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.774,0.674,11,-7.567,0.0686,0.0892,0.0018800000000000002,0.39299999999999996,0.33,112.05,176547,Dance/Electronic
Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,0.855,0.672,9,-3.764,0.021,0.0397,0.0,0.32299999999999995,0.6459999999999999,123.056,182200,Pop
Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,0.42700000000000005,0.598,7,-8.764,0.0546,0.0317,5.83e-06,0.21,0.0605,76.469,175721,Hip-Hop/Rap
Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,0.522,0.755,2,-4.368,0.5329999999999999,0.0575,0.0,0.0685,0.925,89.96,157560,Dreampop/Hip-Hop/R&B
Maluma,PAPI JUANCHO,Hawái,1yoMvmasuxZfqHEipJhRbp,0.727,0.7829999999999999,6,-3.4539999999999997,0.185,0.389,2.46e-05,0.0626,0.5579999999999999,180.067,199112,Pop
Regard,Ride It,Ride It,2tnVG71enUj33Ic2nFN6kZ,0.7509999999999999,0.88,7,-4.258,0.177,0.0874,6.43e-05,0.106,0.884,117.948,157606,Dance/Electronic
Travis Scott,Birds In The Trap Sing McKnight,goosebumps,6gBFPUFcJLzWGx4lenP6h2,0.728,0.841,7,-3.37,0.0847,0.0484,0.0,0.149,0.43,130.049,243837,Hip-Hop/Rap
Black Eyed Peas,Translation,RITMO (Bad Boys For Life),4NCsrTzgVfsDo8nWyP8PPc,0.7040000000000001,0.723,10,-7.087999999999999,0.0259,0.0571,0.00109,0.792,0.684,105.095,214935,Pop
THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0.537,0.716,0,-7.648,0.233,0.0514,0.0,0.157,0.28,129.97899999999998,165978,Hip-Hop/Rap
Bad Bunny,YHLQMDLG,Safaera,2DEZmgHKAvm41k4J3R2E9Y,0.8290000000000001,0.607,2,-4.074,0.0103,0.379,0.0,0.107,0.685,96.17200000000001,295177,Alternative/reggaeton/experimental
Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.29600000000000004,0.35100000000000003,4,-10.109,0.934,0.0333,0.0,0.095,0.12,115.28399999999999,200186,Chamber pop
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0.5660000000000001,0.511,6,-7.23,0.349,0.2,0.0,0.34,0.218,83.90299999999999,239836,Pop
Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,0.45,0.597,8,-6.6579999999999995,0.223,0.0418,0.0,0.382,0.537,178.765,228482,Pop
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.473,0.46399999999999997,1,-10.086,0.866,0.129,0.0,0.109,0.604,75.801,208687,Pop
Dua Lipa,Future Nostalgia,Physical,3AzjcOeAmA57TIOr9zF1ZW,0.8440000000000001,0.647,0,-3.7560000000000002,0.0137,0.0457,0.0006580000000000001,0.102,0.746,146.967,193829,Dance/Electronic
Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.73,0.8340000000000001,8,-3.714,0.00513,0.222,0.0,0.124,0.446,155.00799999999998,312820,Hip-Hop/Rap
